date,bitcoin,
30/03/2012,69.14510965,
31/03/2012,89.48190661,
01/04/2012,85.41454722,
02/04/2012,150.4922975,
03/04/2012,158.6270163,
04/04/2012,130.1555005,
05/04/2012,117.9534223,
06/04/2012,105.7513442,
07/04/2012,89.48190661,
08/04/2012,93.549266,
09/04/2012,81.34718782,
10/04/2012,109.8187036,
11/04/2012,105.7513442,
12/04/2012,130.1555005,
13/04/2012,101.6839848,
14/04/2012,77.27982843,
15/04/2012,81.34718782,
16/04/2012,85.41454722,
17/04/2012,89.48190661,
18/04/2012,113.886063,
19/04/2012,97.61662539,
20/04/2012,89.48190661,
21/04/2012,109.8187036,
22/04/2012,117.9534223,
23/04/2012,126.0881411,
24/04/2012,89.48190661,
25/04/2012,65.07775026,
26/04/2012,138.2902193,
27/04/2012,170.8290944,
28/04/2012,117.9534223,
29/04/2012,85.41454722,
30/04/2012,93.549266,
01/05/2012,85.41454722,
02/05/2012,89.48190661,
03/05/2012,69.14510965,
04/05/2012,73.21246904,
05/05/2012,117.9534223,
06/05/2012,178.9638132,
07/05/2012,113.886063,
08/05/2012,101.6839848,
09/05/2012,97.61662539,
10/05/2012,126.0881411,
11/05/2012,93.549266,
12/05/2012,113.886063,
13/05/2012,105.7513442,
14/05/2012,146.4249381,
15/05/2012,93.549266,
16/05/2012,77.27982843,
17/05/2012,77.27982843,
18/05/2012,105.7513442,
19/05/2012,93.549266,
20/05/2012,113.886063,
21/05/2012,113.886063,
22/05/2012,97.61662539,
23/05/2012,89.48190661,
24/05/2012,97.61662539,
25/05/2012,73.21246904,
26/05/2012,93.549266,
27/05/2012,97.61662539,
28/05/2012,101.6839848,
29/05/2012,85.41454722,
30/05/2012,85.41454722,
31/05/2012,81.34718782,
01/06/2012,93.549266,
02/06/2012,65.07775026,
03/06/2012,81.34718782,
04/06/2012,85.41454722,
05/06/2012,97.61662539,
06/06/2012,73.21246904,
07/06/2012,89.48190661,
08/06/2012,117.9534223,
09/06/2012,130.1555005,
10/06/2012,117.9534223,
11/06/2012,101.6839848,
12/06/2012,97.61662539,
13/06/2012,126.0881411,
14/06/2012,117.9534223,
15/06/2012,109.8187036,
15/06/2012,100.8282089,
16/06/2012,104.562587,
17/06/2012,134.4376119,
18/06/2012,89.62507459,
19/06/2012,123.2344776,
20/06/2012,123.2344776,
21/06/2012,97.09383081,
22/06/2012,89.62507459,
23/06/2012,112.0313432,
24/06/2012,119.5000995,
25/06/2012,89.62507459,
26/06/2012,85.89069648,
27/06/2012,108.2969651,
28/06/2012,115.7657213,
29/06/2012,112.0313432,
30/06/2012,100.8282089,
01/07/2012,104.562587,
02/07/2012,74.68756216,
03/07/2012,93.3594527,
04/07/2012,119.5000995,
05/07/2012,85.89069648,
06/07/2012,67.21880594,
07/07/2012,89.62507459,
08/07/2012,97.09383081,
09/07/2012,141.9063681,
10/07/2012,100.8282089,
11/07/2012,119.5000995,
12/07/2012,119.5000995,
13/07/2012,112.0313432,
14/07/2012,89.62507459,
15/07/2012,141.9063681,
16/07/2012,104.562587,
17/07/2012,115.7657213,
18/07/2012,119.5000995,
19/07/2012,175.5157711,
20/07/2012,156.8438805,
21/07/2012,164.3126367,
22/07/2012,112.0313432,
23/07/2012,130.7032338,
24/07/2012,119.5000995,
25/07/2012,89.62507459,
26/07/2012,115.7657213,
27/07/2012,100.8282089,
28/07/2012,78.42194027,
29/07/2012,85.89069648,
30/07/2012,119.5000995,
31/07/2012,138.17199,
01/08/2012,108.2969651,
02/08/2012,138.17199,
03/08/2012,153.1095024,
04/08/2012,119.5000995,
05/08/2012,156.8438805,
06/08/2012,112.0313432,
07/08/2012,138.17199,
08/08/2012,145.6407462,
09/08/2012,134.4376119,
10/08/2012,119.5000995,
11/08/2012,115.7657213,
12/08/2012,141.9063681,
13/08/2012,130.7032338,
14/08/2012,160.5782586,
15/08/2012,197.9220397,
16/08/2012,171.781393,
17/08/2012,171.781393,
18/08/2012,153.1095024,
19/08/2012,179.2501492,
20/08/2012,175.5157711,
21/08/2012,242.734577,
22/08/2012,197.9220397,
23/08/2012,190.4532835,
24/08/2012,153.1095024,
25/08/2012,156.8438805,
